  9962 DEBUG               task_init.c:224: Erasing sector 127
 10047  INFO              cats_config.c:84: Config: Last recorded sector: 0
 10058  INFO               task_init.c:136: Device initialization complete.
 11061  INFO               task_init.c:140: Task initialization complete.
 11061 DEBUG            task_recorder.c:47: Recorder Task Started...

 12062 TRACE          task_state_est.c:206: Height 460.402: Velocity: 455.843
 12072 TRACE          task_state_est.c:206: Height 491.446: Velocity: 481.810
 12082 TRACE          task_state_est.c:206: Height 504.275: Velocity: 489.589
 12092 TRACE          task_state_est.c:206: Height 511.914: Velocity: 492.229
 12102 TRACE          task_state_est.c:206: Height 517.554: Velocity: 492.914
 12112 TRACE          task_state_est.c:206: Height 522.253: Velocity: 492.697
 12122 TRACE          task_state_est.c:206: Height 526.392: Velocity: 491.958
 12132 TRACE          task_state_est.c:206: Height 530.3: Velocity: 490.735
 12142 TRACE          task_state_est.c:206: Height 533.426: Velocity: 489.352
 12152 TRACE          task_state_est.c:206: Height 536.546: Velocity: 487.698
 12162 TRACE          task_state_est.c:206: Height 539.431: Velocity: 485.834
 12172 TRACE          task_state_est.c:206: Height 542.321: Velocity: 483.978
 12182 TRACE          task_state_est.c:206: Height 545.59: Velocity: 481.971
 12192 TRACE          task_state_est.c:206: Height 547.759: Velocity: 479.913
 12202 TRACE          task_state_est.c:206: Height 550.370: Velocity: 477.738
 12212 TRACE          task_state_est.c:206: Height 552.915: Velocity: 475.456
 12222 TRACE          task_state_est.c:206: Height 555.397: Velocity: 473.50
 12232 TRACE          task_state_est.c:206: Height 557.777: Velocity: 470.462
 12242 TRACE          task_state_est.c:206: Height 560.96: Velocity: 467.711
 12252 TRACE          task_state_est.c:206: Height 562.400: Velocity: 464.825
 12262 TRACE          task_state_est.c:206: Height 564.577: Velocity: 461.653
 12272 TRACE          task_state_est.c:206: Height 566.699: Velocity: 458.249
 12282 TRACE          task_state_est.c:206: Height 568.791: Velocity: 454.618
 12292 TRACE          task_state_est.c:206: Height 570.821: Velocity: 450.696
 12302 TRACE          task_state_est.c:206: Height 572.782: Velocity: 446.443
 12312 TRACE          task_state_est.c:206: Height 574.647: Velocity: 441.787
 12322 TRACE          task_state_est.c:206: Height 576.430: Velocity: 436.721
 12332 TRACE          task_state_est.c:206: Height 578.135: Velocity: 431.227
 12342 TRACE          task_state_est.c:206: Height 579.747: Velocity: 425.251
 12352 TRACE          task_state_est.c:206: Height 581.320: Velocity: 418.880
 12362 TRACE          task_state_est.c:206: Height 582.786: Velocity: 411.966
 12372 TRACE          task_state_est.c:206: Height 584.111: Velocity: 404.412
 12382 TRACE          task_state_est.c:206: Height 585.340: Velocity: 396.310
 12392 TRACE          task_state_est.c:206: Height 586.402: Velocity: 387.482
 12402 TRACE          task_state_est.c:206: Height 587.330: Velocity: 377.999
 12412 TRACE          task_state_est.c:206: Height 588.107: Velocity: 367.822
 12422 TRACE          task_state_est.c:206: Height 588.704: Velocity: 356.875
 12432 TRACE          task_state_est.c:206: Height 589.168: Velocity: 345.307
 12442 TRACE          task_state_est.c:206: Height 589.466: Velocity: 333.37
 12452 TRACE          task_state_est.c:206: Height 589.588: Velocity: 320.64
 12462 TRACE          task_state_est.c:206: Height 589.537: Velocity: 306.422
 12472 TRACE          task_state_est.c:206: Height 589.241: Velocity: 291.902
 12482 TRACE          task_state_est.c:206: Height 588.821: Velocity: 276.954
 12492 TRACE          task_state_est.c:206: Height 588.280: Velocity: 261.633
 12502 TRACE          task_state_est.c:206: Height 587.526: Velocity: 245.650
 12512 TRACE          task_state_est.c:206: Height 586.593: Velocity: 229.173
 12522 TRACE          task_state_est.c:206: Height 585.457: Velocity: 212.156
 12532 TRACE          task_state_est.c:206: Height 584.113: Velocity: 194.618
 12542 TRACE          task_state_est.c:206: Height 582.709: Velocity: 177.158
 12552 TRACE          task_state_est.c:206: Height 581.118: Velocity: 159.327
 12562 TRACE          task_state_est.c:206: Height 579.347: Velocity: 141.196
 12572 TRACE          task_state_est.c:206: Height 577.480: Velocity: 123.110
 12582 TRACE          task_state_est.c:206: Height 575.491: Velocity: 105.3
 12592 TRACE          task_state_est.c:206: Height 573.393: Velocity: 86.943
 12602 TRACE          task_state_est.c:206: Height 571.155: Velocity: 68.838
 12612 TRACE          task_state_est.c:206: Height 568.870: Velocity: 51.54
 12622 TRACE          task_state_est.c:206: Height 566.481: Velocity: 33.389
