,ts,altitude_agl
0,118879,2249.642333984375
1,118889,2250.0029296875
2,118899,2247.7890625
3,118909,2249.917724609375
4,118919,2247.5888671875
5,118929,2249.917724609375
6,118939,2252.131591796875
7,118949,2249.917724609375
8,118959,2250.0029296875
9,118969,2247.5888671875
10,118979,2252.131591796875
11,118989,2250.0029296875
12,118999,2249.917724609375
13,119009,2247.5888671875
14,119019,2249.917724609375
15,119029,2247.3134765625
16,119039,2249.642333984375
17,119049,2249.642333984375
18,119059,2249.642333984375
19,119069,2249.917724609375
20,119079,2247.3134765625
21,119089,2251.8564453125
22,119099,2249.917724609375
23,119109,2249.642333984375
24,119119,2250.0029296875
25,119129,2247.3134765625
26,119139,2251.8564453125
27,119149,2252.131591796875
28,119159,2249.642333984375
29,119169,2245.104736328125
30,119179,2247.5888671875
31,119189,2249.642333984375
32,119199,2249.642333984375
33,119209,2247.5888671875
34,119219,2249.917724609375
35,119229,2245.374755859375
36,119239,2247.5888671875
37,119249,2249.642333984375
38,119259,2252.131591796875
39,119269,2249.642333984375
40,119279,2252.131591796875
41,119289,2249.917724609375
42,119299,2249.642333984375
43,119309,2249.642333984375
44,119319,2252.131591796875
45,119329,2249.642333984375
46,119339,2249.917724609375
47,119349,2251.8564453125
48,119359,2249.642333984375
49,119369,2247.5888671875
50,119379,2250.0029296875
51,119389,2247.5888671875
52,119399,2247.5888671875
53,119409,2249.642333984375
54,119419,2247.2333984375
55,119429,2249.642333984375
56,119439,2252.131591796875
57,119449,2251.65625
58,119459,2251.65625
59,119469,2249.642333984375
60,119479,2247.5888671875
61,119489,2249.917724609375
62,119499,2249.642333984375
63,119509,2249.642333984375
64,119519,2249.642333984375
65,119529,2247.2333984375
66,119539,2249.642333984375
67,119549,2249.642333984375
68,119559,2249.917724609375
69,119569,2251.8564453125
70,119579,2249.442138671875
71,119589,2249.917724609375
72,119599,2250.0029296875
73,119609,2249.442138671875
74,119619,2252.131591796875
75,119629,2249.442138671875
76,119639,2251.8564453125
77,119649,2251.8564453125
78,119659,2249.642333984375
79,119669,2251.8564453125
80,119679,2249.917724609375
81,119689,2247.3134765625
82,119699,2249.917724609375
83,119709,2251.8564453125
84,119719,2249.642333984375
85,119729,2249.642333984375
86,119739,2247.3134765625
87,119749,2251.65625
88,119759,2249.917724609375
89,119769,2251.8564453125
90,119779,2251.8564453125
91,119789,2249.642333984375
92,119799,2249.642333984375
93,119809,2249.642333984375
94,119819,2247.2333984375
95,119829,2249.442138671875
96,119839,2249.642333984375
97,119849,2251.8564453125
98,119859,2249.642333984375
99,119869,2251.8564453125
100,119879,2247.3134765625
101,119889,2249.642333984375
102,119899,2249.642333984375
103,119909,2247.3134765625
104,119919,2249.642333984375
105,119929,2249.642333984375
106,119939,2247.3134765625
107,119949,2249.442138671875
108,119959,2249.442138671875
109,119969,2247.2333984375
110,119979,2247.2333984375
111,119989,2249.642333984375
112,119999,2249.442138671875
113,120009,2249.642333984375
114,120019,2247.3134765625
115,120029,2249.442138671875
116,120039,2249.642333984375
117,120049,2249.642333984375
118,120059,2249.642333984375
119,120069,2249.642333984375
120,120079,2251.8564453125
121,120089,2251.65625
122,120099,2253.9853515625
123,120109,2251.65625
124,120119,2249.442138671875
125,120129,2251.8564453125
126,120139,2249.442138671875
127,120149,2251.65625
128,120159,2249.642333984375
129,120169,2249.24755859375
130,120179,2247.2333984375
131,120189,2249.642333984375
132,120199,2249.442138671875
133,120209,2251.65625
134,120219,2247.3134765625
135,120229,2251.65625
136,120239,2254.0703125
137,120249,2251.456298828125
138,120259,2251.65625
139,120269,2249.442138671875
140,120279,2249.442138671875
141,120289,2249.642333984375
142,120299,2251.8564453125
143,120309,2247.3134765625
144,120319,2251.65625
145,120329,2251.65625
146,120339,2251.65625
147,120349,2249.442138671875
148,120359,2251.65625
149,120369,2249.442138671875
150,120379,2247.2333984375
151,120389,2251.456298828125
152,120399,2251.65625
153,120409,2251.8564453125
154,120419,2249.442138671875
155,120429,2249.442138671875
156,120439,2253.9853515625
157,120449,2249.442138671875
158,120459,2249.442138671875
159,120469,2249.642333984375
160,120479,2249.442138671875
161,120489,2251.65625
162,120499,2251.8564453125
163,120509,2249.24755859375
164,120519,2249.642333984375
165,120529,2251.65625
166,120539,2251.65625
167,120549,2249.442138671875
168,120559,2247.033203125
169,120569,2251.65625
170,120579,2249.24755859375
171,120589,2251.456298828125
172,120599,2251.65625
173,120609,2249.442138671875
174,120619,2249.442138671875
175,120629,2251.65625
176,120639,2251.65625
177,120649,2249.442138671875
178,120659,2251.65625
179,120669,2251.65625
180,120679,2249.442138671875
181,120689,2251.65625
182,120699,2249.24755859375
183,120709,2249.442138671875
184,120719,2249.442138671875
185,120729,2249.442138671875
186,120739,2251.456298828125
187,120749,2249.442138671875
188,120759,2251.8564453125
189,120769,2249.442138671875
190,120779,2251.65625
191,120789,2249.442138671875
192,120799,2247.2333984375
193,120809,2249.24755859375
194,120819,2251.65625
195,120829,2251.8564453125
196,120839,2247.2333984375
197,120849,2247.2333984375
198,120859,2249.24755859375
199,120869,2251.456298828125
200,120879,2249.642333984375
201,120889,2249.442138671875
202,120899,2251.65625
203,120909,2249.442138671875
204,120919,2247.2333984375
205,120929,2251.65625
206,120939,2251.65625
207,120949,2249.442138671875
208,120959,2251.456298828125
209,120969,2249.442138671875
210,120979,2251.456298828125
211,120989,2249.442138671875
212,120999,2251.456298828125
213,121009,2249.24755859375
214,121019,2249.442138671875
215,121029,2249.24755859375
216,121039,2251.8564453125
217,121049,2249.442138671875
218,121059,2251.456298828125
219,121069,2251.456298828125
220,121079,2251.456298828125
221,121089,2249.24755859375
222,121099,2249.442138671875
223,121109,2249.442138671875
224,121119,2253.791259765625
225,121129,2249.442138671875
226,121139,2249.442138671875
227,121149,2251.456298828125
228,121159,2251.456298828125
229,121169,2253.9853515625
230,121179,2249.24755859375
231,121189,2251.65625
232,121199,2249.24755859375
233,121209,2253.791259765625
234,121219,2249.047119140625
235,121229,2251.456298828125
236,121239,2256.205078125
237,121249,2251.456298828125
238,121259,2253.791259765625
239,121269,2249.24755859375
240,121279,2251.456298828125
241,121289,2253.791259765625
242,121299,2251.65625
243,121309,2251.65625
244,121319,2249.24755859375
245,121329,2251.65625
246,121339,2249.442138671875
247,121349,2251.456298828125
248,121359,2251.456298828125
249,121369,2251.456298828125
250,121379,2251.456298828125
251,121389,2251.456298828125
252,121399,2253.591064453125
253,121409,2251.65625
254,121419,2251.456298828125
255,121429,2253.591064453125
256,121439,2251.65625
257,121449,2253.791259765625
258,121459,2251.456298828125
259,121469,2251.456298828125
260,121479,2251.456298828125
261,121489,2253.791259765625
262,121499,2251.456298828125
263,121509,2251.376708984375
264,121519,2251.376708984375
265,121529,2253.791259765625
