,flight_sensor_id,signal_type,t,value
0,f9c9f80b-679c-41ba-a720-1d9d7fd54d4f,acceleration_x,0.010111000000000002,[9.74725086]
1,54f15804-28c3-4b22-82df-d95b40b9a3d2,acceleration_x,0.010111000000000002,[9.81328186]
2,cc6a95a0-bfd3-4cb0-88b8-00ad2bfbdd33,acceleration_x,0.010111000000000002,[9.82217977]
3,a2cd99cf-32eb-47f0-845d-6b7d3515d298,pressure,0.010111000000000002,[85002.85873114]
4,ff1f6c69-0601-49a0-9bf8-11b0082debd7,pressure,0.010111000000000002,[84996.70475104]
5,e99c3424-957e-4c60-a8f8-821857457f32,pressure,0.010111000000000002,[84996.50998531]
6,f03e12b2-39f3-4039-b72b-3cfd3273083c,temperature,0.010111000000000002,[10.00419968]
7,7511b0fa-77ab-4ed8-8e20-11fa19c1ad84,temperature,0.010111000000000002,[10.16995156]
8,c3f011cf-9229-4dc2-904b-0f6a3e2fdf2b,temperature,0.010111000000000002,[10.0857847]
9,f9c9f80b-679c-41ba-a720-1d9d7fd54d4f,acceleration_x,0.020139832107677027,[41.56691027]
10,54f15804-28c3-4b22-82df-d95b40b9a3d2,acceleration_x,0.020139832107677027,[41.6993287]
11,cc6a95a0-bfd3-4cb0-88b8-00ad2bfbdd33,acceleration_x,0.020139832107677027,[41.65917886]
12,a2cd99cf-32eb-47f0-845d-6b7d3515d298,pressure,0.020139832107677027,[85000.54368887]
13,ff1f6c69-0601-49a0-9bf8-11b0082debd7,pressure,0.020139832107677027,[85003.12283365]
14,e99c3424-957e-4c60-a8f8-821857457f32,pressure,0.020139832107677027,[84998.01973515]
15,f03e12b2-39f3-4039-b72b-3cfd3273083c,temperature,0.020139832107677027,[9.44744375]
16,7511b0fa-77ab-4ed8-8e20-11fa19c1ad84,temperature,0.020139832107677027,[10.16192923]
17,c3f011cf-9229-4dc2-904b-0f6a3e2fdf2b,temperature,0.020139832107677027,[10.46931703]
18,f9c9f80b-679c-41ba-a720-1d9d7fd54d4f,acceleration_x,0.030139832107677036,[44.80843736]
19,54f15804-28c3-4b22-82df-d95b40b9a3d2,acceleration_x,0.030139832107677036,[44.92730772]
20,cc6a95a0-bfd3-4cb0-88b8-00ad2bfbdd33,acceleration_x,0.030139832107677036,[44.75775408]
21,a2cd99cf-32eb-47f0-845d-6b7d3515d298,pressure,0.030139832107677036,[84998.46989922]
22,ff1f6c69-0601-49a0-9bf8-11b0082debd7,pressure,0.030139832107677036,[84998.51536944]
23,e99c3424-957e-4c60-a8f8-821857457f32,pressure,0.030139832107677036,[85002.1752757]
24,f03e12b2-39f3-4039-b72b-3cfd3273083c,temperature,0.030139832107677036,[10.28452725]
25,7511b0fa-77ab-4ed8-8e20-11fa19c1ad84,temperature,0.030139832107677036,[9.90612353]
26,c3f011cf-9229-4dc2-904b-0f6a3e2fdf2b,temperature,0.030139832107677036,[10.24441975]
27,f9c9f80b-679c-41ba-a720-1d9d7fd54d4f,acceleration_x,0.04013983210767704,[50.03756723]
28,54f15804-28c3-4b22-82df-d95b40b9a3d2,acceleration_x,0.04013983210767704,[50.12285149]
29,cc6a95a0-bfd3-4cb0-88b8-00ad2bfbdd33,acceleration_x,0.04013983210767704,[50.14147559]
30,a2cd99cf-32eb-47f0-845d-6b7d3515d298,pressure,0.04013983210767704,[84999.52049276]
31,ff1f6c69-0601-49a0-9bf8-11b0082debd7,pressure,0.04013983210767704,[85001.68994707]
32,e99c3424-957e-4c60-a8f8-821857457f32,pressure,0.04013983210767704,[85002.52960523]
33,f03e12b2-39f3-4039-b72b-3cfd3273083c,temperature,0.04013983210767704,[10.08970881]
34,7511b0fa-77ab-4ed8-8e20-11fa19c1ad84,temperature,0.04013983210767704,[10.0506593]
35,c3f011cf-9229-4dc2-904b-0f6a3e2fdf2b,temperature,0.04013983210767704,[9.75473584]
36,f9c9f80b-679c-41ba-a720-1d9d7fd54d4f,acceleration_x,0.05013983210767705,[58.45705697]
37,54f15804-28c3-4b22-82df-d95b40b9a3d2,acceleration_x,0.05013983210767705,[56.59163198]
38,cc6a95a0-bfd3-4cb0-88b8-00ad2bfbdd33,acceleration_x,0.05013983210767705,[57.93450554]
39,a2cd99cf-32eb-47f0-845d-6b7d3515d298,pressure,0.05013983210767705,[85026.39291503]
40,ff1f6c69-0601-49a0-9bf8-11b0082debd7,pressure,0.05013983210767705,[84992.45948939]
41,e99c3424-957e-4c60-a8f8-821857457f32,pressure,0.05013983210767705,[84991.45408056]
42,f03e12b2-39f3-4039-b72b-3cfd3273083c,temperature,0.05013983210767705,[10.27246262]
43,7511b0fa-77ab-4ed8-8e20-11fa19c1ad84,temperature,0.05013983210767705,[9.49190804]
44,c3f011cf-9229-4dc2-904b-0f6a3e2fdf2b,temperature,0.05013983210767705,[10.68193154]
45,f9c9f80b-679c-41ba-a720-1d9d7fd54d4f,acceleration_x,0.06013983210767706,[60.90248085]
46,54f15804-28c3-4b22-82df-d95b40b9a3d2,acceleration_x,0.06013983210767706,[59.18381131]
47,cc6a95a0-bfd3-4cb0-88b8-00ad2bfbdd33,acceleration_x,0.06013983210767706,[58.33163922]
48,a2cd99cf-32eb-47f0-845d-6b7d3515d298,pressure,0.06013983210767706,[84990.85889702]
49,ff1f6c69-0601-49a0-9bf8-11b0082debd7,pressure,0.06013983210767706,[85013.24879208]
50,e99c3424-957e-4c60-a8f8-821857457f32,pressure,0.06013983210767706,[84968.53340731]
51,f03e12b2-39f3-4039-b72b-3cfd3273083c,temperature,0.06013983210767706,[10.54879312]
52,7511b0fa-77ab-4ed8-8e20-11fa19c1ad84,temperature,0.06013983210767706,[10.67446977]
53,c3f011cf-9229-4dc2-904b-0f6a3e2fdf2b,temperature,0.06013983210767706,[9.91663474]
54,f9c9f80b-679c-41ba-a720-1d9d7fd54d4f,acceleration_x,0.07013983210767706,[60.70382336]
55,54f15804-28c3-4b22-82df-d95b40b9a3d2,acceleration_x,0.07013983210767706,[60.10590652]
56,cc6a95a0-bfd3-4cb0-88b8-00ad2bfbdd33,acceleration_x,0.07013983210767706,[61.68493526]
