,flight_sensor_id,signal_type,t,value
1,1ec96258-c5b0-4ace-b138-d4b6ebb94077,acceleration_x,0.02011100000000001,[44.84882833]
2,294906ee-7119-43a0-8b2d-960a8b5b3d34,acceleration_x,0.02011100000000001,[44.89651638]
3,22752219-cefa-4fea-8cbb-590e90be031b,acceleration_x,0.02011100000000001,[44.91717148]
4,21bc6e03-949d-4895-bdc5-3813f477c650,pressure,0.02011100000000001,[89995.44450733]
5,3c25aa65-242d-4527-b812-75d7b481ee66,pressure,0.02011100000000001,[90004.49639484]
6,5e32df81-1a9f-4453-973c-42dc35df8763,pressure,0.02011100000000001,[90004.86447462]
7,cd4c5737-afe1-4d57-8744-e9d47648f074,temperature,0.02011100000000001,[19.50701944]
8,eab2f675-3fc2-40ce-a371-b1a2ea1c9c7d,temperature,0.02011100000000001,[20.05972322]
9,94e18422-443a-46a7-9bfc-476da6236470,temperature,0.02011100000000001,[20.56282823]
10,1ec96258-c5b0-4ace-b138-d4b6ebb94077,acceleration_x,0.03011100000000002,[45.34313606]
11,294906ee-7119-43a0-8b2d-960a8b5b3d34,acceleration_x,0.03011100000000002,[45.57853144]
12,22752219-cefa-4fea-8cbb-590e90be031b,acceleration_x,0.03011100000000002,[45.45524583]
13,21bc6e03-949d-4895-bdc5-3813f477c650,pressure,0.03011100000000002,[89998.11948108]
14,3c25aa65-242d-4527-b812-75d7b481ee66,pressure,0.03011100000000002,[89998.17644676]
15,5e32df81-1a9f-4453-973c-42dc35df8763,pressure,0.03011100000000002,[89998.49371206]
16,cd4c5737-afe1-4d57-8744-e9d47648f074,temperature,0.03011100000000002,[20.13011953]
17,eab2f675-3fc2-40ce-a371-b1a2ea1c9c7d,temperature,0.03011100000000002,[19.55495876]
18,94e18422-443a-46a7-9bfc-476da6236470,temperature,0.03011100000000002,[19.99953769]
19,1ec96258-c5b0-4ace-b138-d4b6ebb94077,acceleration_x,0.04011100000000003,[55.21441537]
20,294906ee-7119-43a0-8b2d-960a8b5b3d34,acceleration_x,0.04011100000000003,[55.20464409]
21,22752219-cefa-4fea-8cbb-590e90be031b,acceleration_x,0.04011100000000003,[55.15663737]
22,21bc6e03-949d-4895-bdc5-3813f477c650,pressure,0.04011100000000003,[90001.02346601]
23,3c25aa65-242d-4527-b812-75d7b481ee66,pressure,0.04011100000000003,[90004.02756105]
24,5e32df81-1a9f-4453-973c-42dc35df8763,pressure,0.04011100000000003,[89999.36735449]
25,cd4c5737-afe1-4d57-8744-e9d47648f074,temperature,0.04011100000000003,[20.10578901]
26,eab2f675-3fc2-40ce-a371-b1a2ea1c9c7d,temperature,0.04011100000000003,[20.17661991]
27,94e18422-443a-46a7-9bfc-476da6236470,temperature,0.04011100000000003,[19.5406318]
28,1ec96258-c5b0-4ace-b138-d4b6ebb94077,acceleration_x,0.05011100000000004,[58.830204]
29,294906ee-7119-43a0-8b2d-960a8b5b3d34,acceleration_x,0.05011100000000004,[61.41187918]
30,22752219-cefa-4fea-8cbb-590e90be031b,acceleration_x,0.05011100000000004,[58.87380009]
31,21bc6e03-949d-4895-bdc5-3813f477c650,pressure,0.05011100000000004,[89992.77452145]
32,3c25aa65-242d-4527-b812-75d7b481ee66,pressure,0.05011100000000004,[90005.51683223]
33,5e32df81-1a9f-4453-973c-42dc35df8763,pressure,0.05011100000000004,[89998.69889513]
34,cd4c5737-afe1-4d57-8744-e9d47648f074,temperature,0.05011100000000004,[20.98214837]
35,eab2f675-3fc2-40ce-a371-b1a2ea1c9c7d,temperature,0.05011100000000004,[20.07697357]
36,94e18422-443a-46a7-9bfc-476da6236470,temperature,0.05011100000000004,[20.3363774]
37,1ec96258-c5b0-4ace-b138-d4b6ebb94077,acceleration_x,0.060111000000000046,[61.81488338]
38,294906ee-7119-43a0-8b2d-960a8b5b3d34,acceleration_x,0.060111000000000046,[61.47462215]
39,22752219-cefa-4fea-8cbb-590e90be031b,acceleration_x,0.060111000000000046,[61.01741753]
40,21bc6e03-949d-4895-bdc5-3813f477c650,pressure,0.060111000000000046,[90018.49138924]
41,3c25aa65-242d-4527-b812-75d7b481ee66,pressure,0.060111000000000046,[89999.11140741]
42,5e32df81-1a9f-4453-973c-42dc35df8763,pressure,0.060111000000000046,[90013.24743005]
43,cd4c5737-afe1-4d57-8744-e9d47648f074,temperature,0.060111000000000046,[20.12358199]
44,eab2f675-3fc2-40ce-a371-b1a2ea1c9c7d,temperature,0.060111000000000046,[19.76197047]
45,94e18422-443a-46a7-9bfc-476da6236470,temperature,0.060111000000000046,[20.54941145]
46,1ec96258-c5b0-4ace-b138-d4b6ebb94077,acceleration_x,0.07011100000000005,[66.10812673]
47,294906ee-7119-43a0-8b2d-960a8b5b3d34,acceleration_x,0.07011100000000005,[61.63526501]
48,22752219-cefa-4fea-8cbb-590e90be031b,acceleration_x,0.07011100000000005,[59.76819082]
49,21bc6e03-949d-4895-bdc5-3813f477c650,pressure,0.07011100000000005,[90014.72870882]
50,3c25aa65-242d-4527-b812-75d7b481ee66,pressure,0.07011100000000005,[89996.50945212]
51,5e32df81-1a9f-4453-973c-42dc35df8763,pressure,0.07011100000000005,[89985.81441068]
52,cd4c5737-afe1-4d57-8744-e9d47648f074,temperature,0.07011100000000005,[19.73245938]
53,eab2f675-3fc2-40ce-a371-b1a2ea1c9c7d,temperature,0.07011100000000005,[20.37155538]
54,94e18422-443a-46a7-9bfc-476da6236470,temperature,0.07011100000000005,[20.27690483]
55,1ec96258-c5b0-4ace-b138-d4b6ebb94077,acceleration_x,0.08011100000000006,[62.69594668]
56,294906ee-7119-43a0-8b2d-960a8b5b3d34,acceleration_x,0.08011100000000006,[60.07812131]
57,22752219-cefa-4fea-8cbb-590e90be031b,acceleration_x,0.08011100000000006,[64.08477771]
58,21bc6e03-949d-4895-bdc5-3813f477c650,pressure,0.08011100000000006,[90011.21433727]
59,3c25aa65-242d-4527-b812-75d7b481ee66,pressure,0.08011100000000006,[89991.8829315]
60,5e32df81-1a9f-4453-973c-42dc35df8763,pressure,0.08011100000000006,[89976.17802529]
61,cd4c5737-afe1-4d57-8744-e9d47648f074,temperature,0.08011100000000006,[20.88993156]
62,eab2f675-3fc2-40ce-a371-b1a2ea1c9c7d,temperature,0.08011100000000006,[19.41563141]
63,94e18422-443a-46a7-9bfc-476da6236470,temperature,0.08011100000000006,[20.84437543]
64,1ec96258-c5b0-4ace-b138-d4b6ebb94077,acceleration_x,0.09011100000000007,[62.66650134]
65,294906ee-7119-43a0-8b2d-960a8b5b3d34,acceleration_x,0.09011100000000007,[62.08124987]
66,22752219-cefa-4fea-8cbb-590e90be031b,acceleration_x,0.09011100000000007,[63.0032065]
67,21bc6e03-949d-4895-bdc5-3813f477c650,pressure,0.09011100000000007,[89996.71571187]
68,3c25aa65-242d-4527-b812-75d7b481ee66,pressure,0.09011100000000007,[89976.04849136]
69,5e32df81-1a9f-4453-973c-42dc35df8763,pressure,0.09011100000000007,[90015.51018949]
70,cd4c5737-afe1-4d57-8744-e9d47648f074,temperature,0.09011100000000007,[19.91188843]
71,eab2f675-3fc2-40ce-a371-b1a2ea1c9c7d,temperature,0.09011100000000007,[20.16452097]
72,94e18422-443a-46a7-9bfc-476da6236470,temperature,0.09011100000000007,[20.105129]
73,1ec96258-c5b0-4ace-b138-d4b6ebb94077,acceleration_x,0.10011100000000007,[62.173871]
74,294906ee-7119-43a0-8b2d-960a8b5b3d34,acceleration_x,0.10011100000000007,[62.18023033]
75,22752219-cefa-4fea-8cbb-590e90be031b,acceleration_x,0.10011100000000007,[62.83150632]
76,21bc6e03-949d-4895-bdc5-3813f477c650,pressure,0.10011100000000007,[89994.18254621]
77,3c25aa65-242d-4527-b812-75d7b481ee66,pressure,0.10011100000000007,[89995.39535492]
78,5e32df81-1a9f-4453-973c-42dc35df8763,pressure,0.10011100000000007,[90008.15621656]
79,cd4c5737-afe1-4d57-8744-e9d47648f074,temperature,0.10011100000000007,[20.08249569]
80,eab2f675-3fc2-40ce-a371-b1a2ea1c9c7d,temperature,0.10011100000000007,[20.51141029]
81,94e18422-443a-46a7-9bfc-476da6236470,temperature,0.10011100000000007,[20.4366133]
82,1ec96258-c5b0-4ace-b138-d4b6ebb94077,acceleration_x,0.11011100000000008,[64.3536014]
83,294906ee-7119-43a0-8b2d-960a8b5b3d34,acceleration_x,0.11011100000000008,[63.59527258]
84,22752219-cefa-4fea-8cbb-590e90be031b,acceleration_x,0.11011100000000008,[64.24204045]
85,21bc6e03-949d-4895-bdc5-3813f477c650,pressure,0.11011100000000008,[90005.9675375]
86,3c25aa65-242d-4527-b812-75d7b481ee66,pressure,0.11011100000000008,[90010.2148192]
87,5e32df81-1a9f-4453-973c-42dc35df8763,pressure,0.11011100000000008,[89987.29488826]
88,cd4c5737-afe1-4d57-8744-e9d47648f074,temperature,0.11011100000000008,[20.1842062]
89,eab2f675-3fc2-40ce-a371-b1a2ea1c9c7d,temperature,0.11011100000000008,[19.92206199]
90,94e18422-443a-46a7-9bfc-476da6236470,temperature,0.11011100000000008,[20.08173635]
91,1ec96258-c5b0-4ace-b138-d4b6ebb94077,acceleration_x,0.12011100000000009,[63.53925364]
92,294906ee-7119-43a0-8b2d-960a8b5b3d34,acceleration_x,0.12011100000000009,[61.49319404]
93,22752219-cefa-4fea-8cbb-590e90be031b,acceleration_x,0.12011100000000009,[63.22876671]
94,21bc6e03-949d-4895-bdc5-3813f477c650,pressure,0.12011100000000009,[89991.32817017]
95,3c25aa65-242d-4527-b812-75d7b481ee66,pressure,0.12011100000000009,[90015.81187763]
96,5e32df81-1a9f-4453-973c-42dc35df8763,pressure,0.12011100000000009,[89996.61102623]
97,cd4c5737-afe1-4d57-8744-e9d47648f074,temperature,0.12011100000000009,[19.82787005]
98,eab2f675-3fc2-40ce-a371-b1a2ea1c9c7d,temperature,0.12011100000000009,[19.45623722]
99,94e18422-443a-46a7-9bfc-476da6236470,temperature,0.12011100000000009,[20.05507537]
100,1ec96258-c5b0-4ace-b138-d4b6ebb94077,acceleration_x,0.1303110000000001,[64.39926205]
101,294906ee-7119-43a0-8b2d-960a8b5b3d34,acceleration_x,0.1303110000000001,[63.94951919]
102,22752219-cefa-4fea-8cbb-590e90be031b,acceleration_x,0.1303110000000001,[65.62440325]
103,21bc6e03-949d-4895-bdc5-3813f477c650,pressure,0.1303110000000001,[89987.28761]
104,3c25aa65-242d-4527-b812-75d7b481ee66,pressure,0.1303110000000001,[89992.45695255]
105,5e32df81-1a9f-4453-973c-42dc35df8763,pressure,0.1303110000000001,[90009.34797541]
106,cd4c5737-afe1-4d57-8744-e9d47648f074,temperature,0.1303110000000001,[19.75200094]
107,eab2f675-3fc2-40ce-a371-b1a2ea1c9c7d,temperature,0.1303110000000001,[20.09847592]
108,94e18422-443a-46a7-9bfc-476da6236470,temperature,0.1303110000000001,[20.06825973]
109,1ec96258-c5b0-4ace-b138-d4b6ebb94077,acceleration_x,0.1403110000000001,[63.1646493]
110,294906ee-7119-43a0-8b2d-960a8b5b3d34,acceleration_x,0.1403110000000001,[64.58523577]
111,22752219-cefa-4fea-8cbb-590e90be031b,acceleration_x,0.1403110000000001,[65.02634599]
112,21bc6e03-949d-4895-bdc5-3813f477c650,pressure,0.1403110000000001,[90010.63939269]
113,3c25aa65-242d-4527-b812-75d7b481ee66,pressure,0.1403110000000001,[90021.34533953]
114,5e32df81-1a9f-4453-973c-42dc35df8763,pressure,0.1403110000000001,[90016.62682296]
115,cd4c5737-afe1-4d57-8744-e9d47648f074,temperature,0.1403110000000001,[19.97305286]
116,eab2f675-3fc2-40ce-a371-b1a2ea1c9c7d,temperature,0.1403110000000001,[20.60655076]
117,94e18422-443a-46a7-9bfc-476da6236470,temperature,0.1403110000000001,[19.99238993]
